COUNTY NAME,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
CHEROKEE,5.150,4.440,6.620,8.840,11.27,13.26,15.66,18.93,22.82,30.55,15.26
CLARKE,1.710,1.520,2.360,3.400,4.650,6.900,8.130,11.01,14.73,21.33,7.300
CLAY,10.61,11.32,22.70,26.15,27.18,33.06,39.69,47.65,54.50,51.34,37.81
CLAYTON,3.780,2.780,4.170,7.160,11.05,13.81,17.62,22.56,26.32,30.23,13.59
CLINCH,13.83,14.32,24.79,35.05,31.75,39.04,39.65,42.11,43.97,46.13,34.60
COBB,2.740,1.930,3.030,4.930,6.800,8.500,10.17,13.47,17.99,27.17,10.55
COFFEE,10.39,8.180,14.61,19.77,22.21,24.91,27.79,31.34,36.71,37.60,24.59
COLQUITT,6.450,6.890,13.07,16.88,17.12,19.53,23.08,27.28,30.80,34.55,21.62
COLUMBIA,4.870,3.190,5.000,7.310,9.140,12.87,17.46,22.37,27.94,34.82,15.95
COOK,9.680,7.440,13.45,17.28,22.56,23.38,25.78,27.80,32.83,38.47,23.88
COWETA,4.070,3.130,5.680,7.710,9.200,10.50,11.92,14.57,19.55,28.61,12.92
CRAWFORD,8.730,9.050,11.99,19.30,19.83,20.15,25.15,29.75,35.44,39.19,24.88
CRISP,8.430,6.970,11.37,14.99,20.63,22.81,28.46,34.14,37.20,44.21,25.69
DADE,8.360,7.460,13.77,15.61,19.52,20.27,20.53,30.32,33.19,34.75,22.41
DAWSON,11.87,10.98,17.71,20.91,25.10,26.41,25.05,28.41,33.54,42.34,27.81
DECATUR,13.72,12.05,18.04,22.46,27.13,33.93,34.52,38.35,39.49,41.34,29.57
DEKALB,4.010,2.880,4.640,7.370,10.59,13.78,16.56,20.14,25.92,30.27,13.93
DODGE,12.69,13.28,21.34,28.32,29.91,32.75,35.74,38.05,42.48,44.15,32.43
DOOLY,14.18,14.26,16.63,25.79,24.71,31.62,32.78,41.64,47.07,44.64,32.07
DOUGHERTY,4.730,4.370,7.950,13.38,16.94,19.89,25.09,28.34,34.79,37.55,20.36
DOUGLAS,4.820,3.560,5.950,8.600,11.85,14.75,17.75,21.39,25.99,35.12,15.95
EARLY,13.84,11.84,15.71,20.86,28.01,31.01,31.16,31.69,36.49,37.81,27.48
ECHOLS,25.79,21.25,32.62,40.67,42.44,46.38,48.31,47.27,56.46,57.43,43.37
EFFINGHAM,3.190,2.760,4.500,5.630,8.200,8.240,10.66,12.65,17.96,25.15,10.64
ELBERT,10.80,8.750,12.49,20.52,24.97,25.94,28.73,29.54,36.99,41.11,27.30
EMANUEL,5.810,4.780,8.070,7.690,9.090,10.91,13.86,18.54,21.38,28.59,15.26
EVANS,5.570,6.790,9.640,11.73,14.72,14.18,20.54,26.85,32.82,36.46,21.02
FANNIN,22.60,14.81,22.27,26.17,29.79,31.73,32.57,34.62,37.51,42.05,33.62
FAYETTE,6.840,3.570,7.740,10.76,13.88,16.87,19.47,24.44,30.42,38.88,20.59
FLOYD,5.270,4.680,7.800,10.61,13.01,15.03,16.74,18.95,23.27,29.03,16.64
