COUNTY NAME,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
APPLING,237.0,176.0,240.0,292.0,377.0,397.0,500.0,560.0,577.0,1455.0,4811.0
ATKINSON,2.00,1.00,8.00,4.00,7.00,5.00,18.00,23.00,33.00,88.00,189.0
BACON,125.0,95.00,145.0,187.0,237.0,232.0,203.0,276.0,313.0,795.0,2608.0
BAKER,57.00,54.00,54.00,67.00,73.00,98.00,121.0,145.0,153.0,391.0,1213.0
BALDWIN,224.0,156.0,231.0,306.0,335.0,461.0,587.0,723.0,830.0,2357.0,6210.0
BANKS,119.0,100.0,132.0,172.0,253.0,301.0,332.0,338.0,356.0,1044.0,3147.0
BARROW,152.0,139.0,220.0,325.0,451.0,443.0,524.0,547.0,630.0,2144.0,5575.0
BARTOW,371.0,275.0,390.0,534.0,690.0,985.0,1105.0,1204.0,1230.0,3607.0,10391.0
BEN HILL,42.00,64.00,88.00,82.00,113.0,164.0,186.0,253.0,296.0,777.0,2065.0
BERRIEN,74.00,96.00,106.0,151.0,195.0,215.0,205.0,242.0,257.0,848.0,2389.0
BIBB,731.0,596.0,816.0,1080.0,1359.0,1725.0,2321.0,2943.0,3279.0,9514.0,24364.0
BLECKLEY,124.0,83.00,146.0,171.0,214.0,235.0,307.0,329.0,295.0,976.0,2880.0
BRANTLEY,149.0,143.0,183.0,249.0,294.0,353.0,399.0,366.0,365.0,1027.0,3528.0
BROOKS,56.00,57.00,118.0,86.00,99.00,119.0,145.0,240.0,214.0,718.0,1852.0
BRYAN,194.0,116.0,182.0,278.0,358.0,465.0,525.0,469.0,488.0,990.0,4065.0
BULLOCH,395.0,421.0,616.0,680.0,749.0,889.0,956.0,982.0,1071.0,2976.0,9735.0
BURKE,162.0,133.0,193.0,231.0,297.0,369.0,406.0,512.0,565.0,1305.0,4173.0
BUTTS,162.0,134.0,198.0,256.0,274.0,346.0,429.0,451.0,529.0,1379.0,4158.0
CALHOUN,38.00,38.00,53.00,73.00,77.00,101.0,111.0,134.0,166.0,365.0,1156.0
CAMDEN,81.00,53.00,100.0,159.0,165.0,242.0,368.0,461.0,432.0,1407.0,3468.0
CANDLER,45.00,32.00,50.00,67.00,89.00,125.0,120.0,133.0,175.0,507.0,1343.0
CARROLL,228.0,211.0,308.0,450.0,535.0,704.0,868.0,987.0,1090.0,3897.0,9278.0
CATOOSA,142.0,101.0,159.0,261.0,343.0,472.0,564.0,609.0,650.0,2553.0,5854.0
CHARLTON,98.00,109.0,80.00,99.00,114.0,163.0,215.0,220.0,197.0,561.0,1856.0
CHATHAM,467.0,472.0,712.0,929.0,1132.0,1566.0,2122.0,2655.0,3175.0,10166.0,23396.0
CHATTAHOOCHEE,54.00,35.00,46.00,50.00,70.00,75.00,105.0,93.00,104.0,203.0,835.0
CHATTOOGA,88.00,59.00,90.00,137.0,175.0,212.0,245.0,305.0,358.0,1075.0,2744.0
CHEROKEE,763.0,561.0,823.0,1226.0,1762.0,2263.0,2532.0,2751.0,2741.0,8558.0,23980.0
CLARKE,166.0,174.0,218.0,241.0,244.0,314.0,359.0,485.0,645.0,2384.0,5230.0
CLAY,14.00,18.00,32.00,34.00,28.00,41.00,52.00,81.00,103.0,306.0,709.0
CLAYTON,688.0,527.0,679.0,1092.0,1691.0,2174.0,2752.0,3180.0,2984.0,6122.0,21889.0
CLINCH,52.00,56.00,89.00,109.0,107.0,130.0,157.0,168.0,164.0,405.0,1437.0
COBB,1311.0,928.0,1377.0,2224.0,3094.0,4160.0,4894.0,5915.0,6531.0,20831.0,51265.0
COFFEE,227.0,189.0,287.0,378.0,424.0,490.0,576.0,650.0,688.0,1683.0,5592.0
COLQUITT,132.0,150.0,256.0,315.0,298.0,356.0,478.0,529.0,592.0,1838.0,4944.0
COLUMBIA,441.0,282.0,454.0,647.0,809.0,1202.0,1649.0,1992.0,2183.0,5771.0,15430.0
COOK,93.00,63.00,101.0,126.0,173.0,198.0,216.0,233.0,241.0,797.0,2241.0
COWETA,332.0,246.0,429.0,624.0,785.0,1022.0,1108.0,1238.0,1334.0,4575.0,11693.0
