CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,5.49,6.99,6.70,0.00,5.76,5.74,50.00,9.09,7.06,0.00,3.37,4.96,16.67,5.57,6.56,7.04,19.33,21.22,7.32,16.51,13.61,17.23
Congressional District 2,6.06,10.13,8.79,0.00,6.47,7.92,0.00,8.18,15.31,0.00,4.78,5.13,0.00,6.87,4.89,13.64,25.62,26.94,8.89,23.83,18.46,22.76
Congressional District 3,2.88,8.57,8.06,0.00,6.56,6.30,0.00,5.66,9.52,0.00,3.72,4.07,16.67,4.49,3.92,9.65,19.52,20.63,4.44,11.43,9.12,16.52
Congressional District 4,7.28,7.10,5.46,0.00,5.94,5.59,0.00,3.21,7.22,7.14,4.35,4.62,0.00,3.63,3.16,3.33,16.49,16.85,5.81,15.86,11.88,13.66
Congressional District 5,3.04,7.16,5.27,0.00,6.03,5.16,0.00,3.21,4.62,0.00,4.37,4.14,4.76,3.73,3.33,4.71,11.45,11.30,5.88,14.09,9.59,10.83
Congressional District 6,5.39,4.29,4.36,0.00,4.36,5.39,0.00,3.66,4.22,0.00,3.42,3.87,0.00,2.83,3.49,4.65,12.89,14.00,0.00,6.92,5.37,10.62
Congressional District 7,6.64,4.60,4.40,0.00,3.17,3.10,0.00,2.17,2.42,6.06,2.03,2.08,0.00,1.32,1.47,4.56,10.76,11.92,4.94,4.79,3.89,7.81
Congressional District 8,6.25,7.50,6.90,0.00,4.90,7.41,0.00,5.71,7.22,25.00,3.18,4.00,0.00,5.56,4.59,3.95,21.24,23.32,0.00,14.25,11.83,18.46
Congressional District 9,12.96,10.11,10.12,0.00,7.56,9.76,0.00,13.24,12.10,0.00,2.82,2.84,0.00,6.89,5.17,7.75,24.39,26.43,11.11,8.97,7.76,22.54
Congressional District 10,8.33,9.15,8.29,0.00,6.67,6.31,0.00,7.87,8.33,0.00,3.78,4.25,0.00,4.39,3.46,5.48,22.14,23.18,5.17,20.34,16.12,19.95
Congressional District 11,1.59,5.48,5.60,4.17,4.48,5.97,0.00,5.43,10.15,0.00,2.83,3.19,0.00,3.23,3.68,7.69,14.63,16.28,4.35,5.85,4.73,12.36
Congressional District 12,6.94,9.74,8.30,0.00,6.82,7.57,0.00,6.29,9.68,0.00,5.02,5.85,0.00,7.84,6.71,13.19,26.24,28.08,10.34,20.69,17.33,22.62
Congressional District 13,4.62,8.19,6.11,0.00,6.70,5.74,0.00,5.41,6.56,0.00,3.10,2.46,0.00,3.61,3.36,1.82,16.47,17.57,4.90,14.19,10.99,13.08
Congressional District 14,11.54,7.62,7.48,0.00,3.95,5.42,0.00,4.04,7.95,0.00,5.32,4.21,0.00,5.76,5.59,11.11,19.01,21.03,15.38,7.30,5.96,17.32
TOTAL,5.89,7.21,6.45,0.74,5.42,5.69,14.29,5.43,7.38,2.74,3.43,3.60,1.67,3.47,3.27,6.68,18.86,20.22,5.81,15.15,11.69,15.90
