COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
WAYNE,1.00,102.0,88.00,0.00,5.00,7.00,0.00,1.00,1.00,0.00,4.00,7.00,0.00,4.00,7.00,0.00,2303.0,2150.0,0.00,224.0,126.0,5030.0
WEBSTER,0.00,3.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,233.0,227.0,0.00,127.0,63.00,657.0
WHEELER,0.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,343.0,359.0,0.00,185.0,145.0,1044.0
WHITE,0.00,29.00,28.00,0.00,1.00,3.00,0.00,1.00,0.00,0.00,2.00,3.00,0.00,3.00,3.00,0.00,2319.0,2114.0,0.00,23.00,15.00,4544.0
WHITFIELD,1.00,227.0,250.0,0.00,8.00,7.00,0.00,1.00,0.00,0.00,192.0,148.0,0.00,11.00,17.00,1.00,4712.0,4350.0,0.00,230.0,144.0,10299.0
WILCOX,0.00,1.00,5.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,2.00,3.00,0.00,1.00,1.00,1.00,768.0,697.0,0.00,171.0,102.0,1754.0
WILKES,0.00,16.00,14.00,0.00,3.00,2.00,0.00,2.00,0.00,0.00,1.00,1.00,0.00,2.00,2.00,1.00,1089.0,1012.0,0.00,610.0,325.0,3080.0
WILKINSON,0.00,6.00,8.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,484.0,467.0,0.00,672.0,391.0,2032.0
WORTH,2.00,20.00,27.00,0.00,3.00,6.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,3.00,1.00,0.00,1461.0,1410.0,0.00,404.0,216.0,3557.0
TOTAL,143.0,19180.0,17040.0,1.00,2235.0,1869.0,1.00,125.0,148.0,6.00,2669.0,2334.0,3.00,1960.0,1676.0,97.00,358901.0,341388.0,54.00,167913.0,92845.0,1010588.0
