COUNTY NAME,MALE,FEMALE,UNKNOWN,TOTAL
APPLING,44.47,43.60,0.00,43.99
ATKINSON,4.600,4.100,0.00,4.320
BACON,44.23,41.28,0.00,42.60
BAKER,56.38,55.84,0.00,56.08
BALDWIN,24.78,26.34,0.00,25.65
BANKS,32.29,30.83,0.00,31.53
BARROW,12.92,12.88,5.170,12.89
BARTOW,17.70,15.68,9.680,16.63
BEN HILL,23.10,21.30,0.00,22.07
BERRIEN,23.95,21.87,0.00,22.83
BIBB,24.30,26.11,6.060,25.32
BLECKLEY,43.08,40.24,0.00,41.52
BRANTLEY,36.55,34.51,0.00,35.46
BROOKS,17.14,19.65,0.00,18.51
BRYAN,16.58,16.47,0.00,16.51
BULLOCH,23.56,24.11,6.250,23.85
BURKE,26.38,30.41,20.00,28.58
BUTTS,28.80,30.21,40.00,29.55
CALHOUN,37.59,38.88,0.00,38.32
CAMDEN,10.90,9.950,0.00,10.38
CANDLER,23.87,24.50,0.00,24.20
CARROLL,14.42,13.12,0.00,13.71
CATOOSA,14.90,12.62,12.12,13.67
CHARLTON,30.39,30.08,0.00,30.22
CHATHAM,12.14,13.29,5.620,12.77
CHATTAHOOCHEE,19.23,21.68,0.00,20.51
CHATTOOGA,22.14,19.01,0.00,20.45
CHEROKEE,16.07,14.52,12.73,15.26
CLARKE,7.270,7.330,2.650,7.300
CLAY,36.26,38.96,0.00,37.81
CLAYTON,11.48,15.19,2.860,13.59
CLINCH,35.27,34.10,0.00,34.60
COBB,10.94,10.24,3.120,10.55
COFFEE,24.24,24.88,12.50,24.59
COLQUITT,23.15,20.37,7.140,21.62
COLUMBIA,17.13,14.94,4.210,15.95
COOK,25.35,22.67,0.00,23.88
COWETA,13.07,12.80,5.380,12.92
CRAWFORD,23.39,26.24,0.00,24.88
CRISP,26.39,25.17,0.00,25.69
DADE,23.29,21.62,0.00,22.41
DAWSON,28.02,27.63,11.11,27.81
DECATUR,28.78,30.22,0.00,29.57
DEKALB,12.43,15.13,0.00,13.93
DODGE,33.70,31.38,0.00,32.43
DOOLY,30.04,33.70,0.00,32.07
DOUGHERTY,18.02,22.09,8.820,20.36
DOUGLAS,16.17,15.79,4.620,15.95
EARLY,24.95,29.44,100.0,27.48
ECHOLS,43.54,43.25,0.00,43.37
EFFINGHAM,10.79,10.50,8.000,10.64
ELBERT,28.17,26.56,0.00,27.30
EMANUEL,16.82,14.04,0.00,15.26
EVANS,21.91,20.29,100.0,21.02
FANNIN,35.16,32.25,0.00,33.62
FAYETTE,20.53,20.67,4.880,20.59
FLOYD,17.56,15.87,28.57,16.64
FORSYTH,15.84,14.92,9.780,15.35
FRANKLIN,28.77,26.63,0.00,27.64
