ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,25.49,21.82,0.00,23.55
2016 Primary,24.54,23.01,0.00,23.73
2016 Primary Runoff,20.63,18.49,0.00,19.50
2016 General,54.37,55.90,0.00,55.16
2018 Primary,13.04,11.29,0.00,12.15
2018 Primary Runoff,8.69,6.46,0.00,7.55
2018 General,45.18,46.12,0.00,45.64
