ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,0.00,25.00,25.00,0.00,0.00,38.37,0.00,26.85
2016 Primary,77.78,34.99,50.00,0.00,0.00,45.88,0.00,37.63
2016 Primary Runoff,0.00,17.91,0.00,0.00,0.00,10.59,0.00,15.91
2016 General,88.89,56.19,50.00,0.00,0.00,63.53,33.33,57.71
2018 Primary,0.00,15.40,50.00,0.00,0.00,23.33,0.00,16.21
2018 Primary Runoff,0.00,7.07,0.00,0.00,0.00,11.11,0.00,7.42
2018 General,50.00,49.39,100.0,0.00,0.00,58.62,10.53,49.62
