ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,33.33,38.24,50.00,36.04
2016 Primary,15.36,17.24,0.00,16.38
2016 Primary Runoff,3.50,4.45,0.00,4.02
2016 General,64.56,71.02,60.00,68.08
2018 Primary,17.95,20.85,20.00,19.51
2018 Primary Runoff,7.35,7.18,0.00,7.25
2018 General,57.66,65.65,37.50,61.92
