ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,35.00,32.55,22.22,0.00,21.74,43.17,28.41,38.32
2016 Primary,10.00,11.55,5.88,0.00,7.41,27.51,10.11,20.69
2016 Primary Runoff,0.00,3.70,0.00,0.00,0.00,0.57,0.75,1.47
2016 General,72.00,65.14,65.67,0.00,62.50,68.40,52.36,65.93
2018 Primary,3.12,17.85,5.26,0.00,7.69,17.62,9.20,16.27
2018 Primary Runoff,3.12,2.07,0.00,0.00,0.00,17.70,4.72,10.73
2018 General,54.05,60.00,52.81,33.33,47.62,58.57,39.34,56.72
