PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0588,20.03,20.22,0.00,20.13
0589,4.710,3.680,0.00,4.170
1610,22.53,20.75,0.00,21.57
5610,16.38,13.87,0.00,14.92
TOTAL,19.23,17.02,0.00,18.00
