PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
MIRROR LAKE ELEMENTA,0.00,0.00,0.00,0.00
WINSTON,0.00,0.00,0.00,0.00
DAY STAR GYM,0.00,0.05,0.00,0.02
COLONIAL HILLS,0.00,0.00,0.00,0.00
EPHESUS BAPTIST CHUR,0.00,0.00,0.00,0.00
PRAYS MILL GYM,0.00,0.00,0.00,0.00
TURNER,0.00,0.00,0.00,0.00
FIRST BAPTIST LITHIA,0.00,0.00,0.00,0.00
COUNTY LINE BAPTIST,0.00,0.00,0.00,0.00
DEER LICK,1.12,2.38,0.00,1.80
GOLDEN METHODIST CH,0.00,0.00,0.00,0.00
OLD COURTHOUSE,0.00,0.00,0.00,0.00
BEULAH BAPTIST,1.31,1.61,0.00,1.47
STEWART,0.00,0.00,0.00,0.00
ARBOR STATION,0.00,0.00,0.00,0.00
BRIGHT STAR,0.00,0.00,0.00,0.00
DORSETT SHOALS,0.00,0.00,0.00,0.00
CHAPEL HILL,0.00,0.00,0.00,0.00
CHURCH AT CHAPEL HILL,0.00,0.03,0.00,0.02
CHESTNUT LOG,0.34,0.26,0.00,0.30
ST JULIANS EPISCOPAL,0.00,0.00,0.00,0.00
LUTHERAN CHURCH - GS,0.00,0.00,0.00,0.00
FIRST BAPTIST,0.00,0.00,0.00,0.00
FACTORY SHOALS,3.50,4.45,0.00,4.02
BOUNDARY WATERS,3.10,4.17,50.00,3.75
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,0.36,0.49,1.52,0.43
