PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
YATESVILLE,0.00,29.00,35.00,0.00,5.00,2.00,0.00,0.00,0.00,0.00,5.00,4.00,0.00,0.00,0.00,0.00,453.0,451.0,0.00,136.0,112.0,1232.0
SALEM,0.00,2.00,13.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,18.00,0.00,158.0,138.0,360.0
REDBONE,0.00,188.0,201.0,0.00,11.00,8.00,0.00,0.00,1.00,0.00,10.00,10.00,0.00,17.00,10.00,1.00,2986.0,2660.0,1.00,595.0,444.0,7143.0
TOWN,1.00,240.0,240.0,0.00,18.00,10.00,0.00,3.00,1.00,0.00,12.00,15.00,0.00,6.00,14.00,0.00,2358.0,1789.0,3.00,1717.0,1093.0,7520.0
TOTAL,1.00,459.0,489.0,0.00,36.00,21.00,0.00,3.00,2.00,0.00,27.00,29.00,0.00,23.00,24.00,1.00,5825.0,4918.0,4.00,2606.0,1787.0,16255.0
