AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.34,0.00,0.00,0.00,2.02,1.60,1.62
25-29,0.00,0.65,2.86,0.00,0.00,1.17,0.00,1.02
30-34,0.00,0.81,0.00,0.00,0.00,2.28,0.93,1.88
35-39,0.00,0.44,0.00,0.00,0.00,4.03,2.97,3.36
40-44,0.00,0.36,0.00,0.00,0.00,4.76,1.57,3.80
45-49,9.52,0.60,0.00,0.00,0.00,6.47,2.22,5.28
50-54,0.00,0.00,6.67,0.00,0.00,8.25,5.61,6.63
55-59,0.00,0.81,3.70,0.00,0.00,9.99,3.33,8.13
60-64,0.00,0.90,5.00,0.00,0.00,14.44,3.26,11.68
65-OVER,0.00,0.40,3.33,0.00,0.00,20.06,8.05,16.64
TOTAL,1.43,0.51,2.17,0.00,0.00,9.70,2.98,7.75
