AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.320,0.00,8.330,0.780,0.270,0.310,0.310
25-29,0.00,0.420,0.00,0.00,0.00,0.290,0.00,0.310
30-34,0.00,1.010,0.00,0.00,0.900,0.230,0.410,0.520
35-39,0.00,0.880,0.00,0.00,0.00,0.410,0.00,0.540
40-44,0.00,1.210,1.490,0.00,2.330,0.530,0.400,0.780
45-49,0.00,1.470,0.00,0.00,0.00,0.690,0.720,0.910
50-54,0.00,2.020,1.790,0.00,0.00,1.200,0.00,1.400
55-59,0.00,3.290,2.040,25.00,0.00,0.940,0.520,1.720
60-64,0.00,3.770,0.00,33.33,1.960,0.660,0.00,1.690
65-OVER,1.150,5.790,0.00,0.00,5.880,1.790,1.360,2.810
TOTAL,0.180,1.990,0.340,6.250,0.940,0.840,0.350,1.200
