PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
LOCUST GROVE,4.30,3.35,0.00,3.78
TUSSAHAW,12.20,11.38,0.00,11.77
SANDY RIDGE,7.09,6.38,0.00,6.72
WESTSIDE,0.80,0.68,0.00,0.73
LOWES,3.48,2.75,0.00,3.07
SOUTH HAMPTON,6.95,5.76,0.00,6.30
NORTH HAMPTON,4.40,3.93,0.00,4.13
MOUNT CARMEL,2.51,2.22,0.00,2.35
RED OAK,0.67,0.45,0.00,0.55
WESLEY LAKES,2.50,2.16,0.00,2.31
MCDONOUGH,4.57,3.94,0.00,4.19
MCMULLEN,5.68,4.67,0.00,5.15
EAST LAKE,6.89,6.93,0.00,6.91
HICKORY FLAT,3.05,2.37,0.00,2.66
STOCKBRIDGE EAST,1.62,1.38,0.00,1.49
STOCKBRIDGE WEST,0.50,0.46,0.00,0.48
STAGECOACH,1.83,2.32,0.00,2.10
COTTON INDIAN,4.36,3.08,0.00,3.66
PLEASANT GROVE,4.37,3.92,0.00,4.13
AUSTIN ROAD,1.47,1.95,0.00,1.73
SWAN LAKE,3.10,2.99,0.00,3.04
SHAKERAG,0.32,0.25,0.00,0.28
ELLENWOOD,1.23,1.21,0.00,1.22
UNITY GROVE,12.24,10.33,0.00,11.23
SHILOH,4.01,3.19,0.00,3.52
PATES CREEK,3.79,2.99,0.00,3.35
OAKLAND,6.64,5.27,0.00,5.90
LAKE DOW,6.93,6.45,0.00,6.68
FLIPPEN,3.44,2.93,0.00,3.16
STOCKBRIDGE CENTRAL,1.31,0.77,0.00,1.00
KELLEYTOWN,5.75,3.81,0.00,4.72
LIGHTHOUSE,3.26,2.19,0.00,2.68
DUTCHTOWN,4.00,3.01,0.00,3.47
MT. BETHEL,4.34,3.66,33.33,4.01
GROVE PARK,7.10,6.58,0.00,6.82
LAKE HAVEN,6.66,5.33,0.00,5.95
MCDONOUGH CENTRAL,8.05,8.07,0.00,8.05
TIMBERRIDGE,9.26,7.86,0.00,8.54
88888,0.00,33.33,0.00,16.67
99999,0.00,0.00,0.00,0.00
TOTAL,4.36,3.60,1.69,3.95
