PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
ANNX,0.00,0.00,0.00,0.00
BMS,0.00,0.00,0.00,0.00
CENT,0.00,0.00,0.00,0.00
CGTC,0.00,0.00,0.00,0.00
FMMS,0.00,0.00,0.00,0.00
HAFS,0.00,0.00,0.00,0.00
HCTC,0.00,0.00,0.00,0.00
HEFS,0.00,0.00,0.00,0.00
HHPC,0.00,0.00,0.00,0.00
MCMS,0.00,0.00,0.00,0.00
MILL,0.00,0.00,0.00,0.00
NSES,0.00,0.00,0.00,0.00
RECR,0.00,0.00,0.00,0.00
ROZR,0.00,0.00,0.00,0.00
TMS,0.00,0.00,0.00,0.00
TWPK,0.00,0.00,0.00,0.00
VHS,0.00,0.00,0.00,0.00
TOTAL,0.00,0.00,0.00,0.00
