PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
1,5.220,4.370,0.00,4.770
10,8.760,7.940,0.00,8.330
11,10.77,11.55,0.00,11.19
12,11.34,11.44,0.00,11.39
2,6.080,6.820,0.00,6.470
3,12.42,12.75,0.00,12.59
4,9.890,10.33,0.00,10.11
5,5.190,4.450,0.00,4.800
6,5.470,6.110,0.00,5.790
7,6.620,8.260,0.00,7.470
8,10.01,9.350,0.00,9.630
9,5.470,6.040,0.00,5.770
TOTAL,7.900,8.060,0.00,7.980
