PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
KANSAS,12.33,11.88,0.00,12.07
BOWDON,8.61,7.21,0.00,7.84
SANDHILL,8.93,7.09,0.00,7.95
CENTER POINT,18.14,16.81,0.00,17.49
LOWELL,16.97,14.53,0.00,15.68
MT ZION,10.46,7.64,0.00,8.94
BURWELL,11.83,10.41,0.00,11.10
CLEM,15.80,14.15,0.00,14.93
BOWDON JUNCTION,9.07,7.12,0.00,8.03
TYUS,11.92,10.81,0.00,11.33
FAIRFIELD,9.09,8.33,0.00,8.69
HULETT,10.65,8.75,0.00,9.66
BETHANY,7.85,6.46,0.00,7.12
V R COUNTY SOUTH,7.40,6.10,0.00,6.70
V R COUNTY NORTH,3.54,3.15,0.00,3.33
VILLA RICA CITY,3.64,2.50,0.00,2.99
TEMPLE COUNTY,4.93,4.01,0.00,4.44
TEMPLE CITY,5.23,4.37,0.00,4.76
WHITESBURG,15.49,11.80,0.00,13.55
ROOPVILLE,17.06,17.46,0.00,17.25
WEST CARROLLTON,1.55,1.48,0.00,1.51
EAST CARROLLTON REC,13.17,9.89,0.00,11.25
BONNER,12.67,9.58,0.00,10.93
UNIVERSITY OF W. GA,14.10,10.15,0.00,11.81
COUNTY ADMIN BLDG,12.41,11.37,0.00,11.84
TABERNACLE CHURCH,16.61,16.37,0.00,16.46
EMC,12.14,12.39,0.00,12.26
OLD CAMP CHURCH,15.34,15.42,0.00,15.38
OAK GROVE,19.01,16.57,0.00,17.70
NEW HOPE,9.58,8.70,0.00,9.12
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,9.84,8.33,0.00,9.02
