AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.00,0.00,0.00,2.610,0.00,1.120
25-29,0.00,0.00,0.00,0.00,0.00,1.220,1.080,0.620
30-34,0.00,0.00,0.00,0.00,0.00,2.280,1.330,1.260
35-39,0.00,0.00,0.00,0.00,0.00,3.270,1.670,1.780
40-44,0.00,0.00,0.00,0.00,0.00,6.520,4.550,3.550
45-49,0.00,0.00,0.00,0.00,0.00,7.040,2.600,4.070
50-54,0.00,0.760,0.00,0.00,12.50,7.960,3.510,4.970
55-59,0.00,0.210,0.00,0.00,0.00,10.15,6.250,6.370
60-64,50.00,0.00,0.00,0.00,0.00,16.49,5.260,10.23
65-OVER,33.33,0.090,0.00,0.00,0.00,20.16,8.700,13.69
TOTAL,7.690,0.110,0.00,0.00,2.170,10.98,3.300,6.410
