PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
SUGAR VALLEY,9.43,7.08,0.00,8.20
PLAINVILLE,5.48,4.68,0.00,5.06
SONORAVILLE,8.10,6.30,0.00,7.17
PINE CHAPEL,8.70,7.11,0.00,7.88
OOSTANAULA,13.99,9.18,0.00,11.51
OAKMAN,5.33,3.58,0.00,4.45
GORDON COUNTY,9.13,7.27,0.00,8.16
CALHOUN CITY,10.62,8.68,0.00,9.54
LILY POND,7.02,5.98,0.00,6.47
FAIRMOUNT,6.76,7.17,0.00,6.97
88888,inf00,0.00,0.00,100.0
RED BUD,9.52,7.15,0.00,8.29
RESACA,9.23,7.47,0.00,8.32
99999,0.00,0.00,0.00,0.00
TOTAL,8.84,7.16,0.00,7.95
