AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,2.440,0.150,1.620,0.00,1.670,4.220,2.080,3.140
25-29,0.00,0.130,1.080,0.00,0.00,2.450,1.820,1.850
30-34,1.270,0.00,0.00,0.00,1.790,3.610,2.880,2.800
35-39,4.110,0.230,0.540,0.00,1.560,5.300,2.550,4.040
40-44,3.740,0.370,0.510,0.00,1.350,6.680,3.650,5.170
45-49,1.060,0.150,0.440,0.00,3.570,9.010,5.250,7.130
50-54,2.500,1.090,2.310,0.00,2.040,10.45,6.360,8.480
55-59,1.590,0.540,2.700,0.00,7.020,14.10,6.150,11.05
60-64,3.570,0.500,2.940,0.00,5.000,17.99,6.320,14.22
65-OVER,5.970,0.910,4.020,0.00,13.04,26.60,12.20,22.24
TOTAL,2.570,0.430,1.490,0.00,3.090,12.00,4.820,9.240
