AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.260,0.00,0.190,0.00,2.030,0.940,0.570,0.800
25-29,0.00,0.00,0.310,0.00,0.00,0.280,0.190,0.250
30-34,0.00,0.00,0.00,0.00,1.140,0.670,0.480,0.580
35-39,0.160,0.00,0.310,0.00,0.660,1.150,0.520,0.900
40-44,0.290,0.190,0.00,0.00,0.530,1.970,0.980,1.540
45-49,0.860,0.00,1.660,0.00,1.300,2.280,1.120,1.950
50-54,0.490,0.00,1.300,0.00,0.00,2.790,1.700,2.460
55-59,0.420,0.00,0.00,0.00,0.00,2.800,1.120,2.410
60-64,0.00,0.540,0.00,0.00,1.540,3.040,1.820,2.730
65-OVER,1.290,0.710,2.620,0.00,0.00,4.790,2.810,4.400
TOTAL,0.440,0.120,0.650,0.00,0.760,2.460,1.140,2.070
