CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,0.0,319.0,303.0,0.0,15.0,12.0,0.0,2.0,1.0,0.0,16.0,22.0,0.0,16.0,14.0,2.0,8100.0,7465.0,0.0,952.0,564.0,17803.0
Congressional District 2,0.0,59.0,55.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0,3.0,4.0,0.0,10.0,6.0,0.0,2518.0,2225.0,0.0,1721.0,972.0,7587.0
Congressional District 3,4.0,731.0,813.0,0.0,57.0,58.0,0.0,2.0,7.0,0.0,72.0,54.0,0.0,52.0,26.0,4.0,20555.0,20181.0,0.0,669.0,488.0,43773.0
Congressional District 4,0.0,581.0,395.0,0.0,100.0,54.0,0.0,1.0,3.0,0.0,53.0,39.0,0.0,36.0,37.0,0.0,3599.0,2759.0,0.0,12178.0,6422.0,26257.0
Congressional District 5,7.0,1103.0,729.0,0.0,87.0,72.0,0.0,1.0,3.0,0.0,47.0,46.0,0.0,45.0,32.0,4.0,2544.0,2767.0,5.0,12005.0,6135.0,25632.0
Congressional District 6,3.0,286.0,248.0,0.0,81.0,98.0,0.0,3.0,3.0,1.0,91.0,81.0,0.0,92.0,110.0,1.0,10275.0,10517.0,0.0,777.0,467.0,23134.0
Congressional District 7,1.0,108.0,103.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,8.0,12.0,1.0,1104.0,1049.0,0.0,1.0,3.0,2416.0
Congressional District 8,0.0,49.0,36.0,0.0,9.0,6.0,0.0,1.0,4.0,0.0,9.0,5.0,0.0,4.0,3.0,1.0,2958.0,2912.0,0.0,978.0,546.0,7521.0
Congressional District 9,3.0,312.0,329.0,0.0,19.0,26.0,0.0,6.0,6.0,0.0,21.0,18.0,0.0,13.0,11.0,1.0,12561.0,12230.0,0.0,54.0,36.0,25646.0
Congressional District 10,1.0,142.0,109.0,0.0,11.0,15.0,0.0,4.0,0.0,0.0,4.0,7.0,0.0,12.0,4.0,2.0,3388.0,3410.0,0.0,143.0,97.0,7349.0
Congressional District 11,4.0,278.0,283.0,0.0,60.0,78.0,0.0,5.0,5.0,0.0,56.0,75.0,0.0,64.0,61.0,2.0,10800.0,11268.0,0.0,392.0,288.0,23719.0
Congressional District 12,1.0,166.0,207.0,0.0,11.0,13.0,0.0,0.0,3.0,0.0,19.0,22.0,0.0,32.0,15.0,1.0,5588.0,5517.0,0.0,198.0,155.0,11948.0
Congressional District 13,2.0,557.0,354.0,0.0,69.0,57.0,0.0,3.0,1.0,0.0,47.0,38.0,1.0,28.0,26.0,0.0,3470.0,3453.0,2.0,7134.0,3669.0,18911.0
Congressional District 14,0.0,289.0,310.0,0.0,12.0,21.0,0.0,2.0,0.0,0.0,30.0,17.0,0.0,15.0,18.0,2.0,9066.0,8912.0,0.0,124.0,91.0,18909.0
TOTAL,26.0,4980.0,4274.0,0.0,541.0,520.0,0.0,31.0,37.0,1.0,478.0,436.0,1.0,427.0,375.0,21.0,96526.0,94665.0,7.0,37326.0,19933.0,260605.0
