CONGRESSIONAL DISTRICT,MALE,FEMALE,UNKNOWN,TOTAL
District 1,4.18,3.85,0.68,4.00
District 2,1.81,1.85,0.00,1.83
District 3,10.02,8.69,2.73,9.30
District 4,4.67,6.21,0.00,5.53
District 5,4.05,5.62,3.22,4.89
District 6,5.04,4.49,1.08,4.74
District 7,0.57,0.52,0.18,0.54
District 8,1.88,1.76,0.47,1.81
District 9,6.29,5.76,1.48,6.01
District 10,1.72,1.51,0.78,1.61
District 11,5.31,4.46,1.38,4.85
District 12,3.09,2.57,0.59,2.80
District 13,3.75,4.28,1.25,4.04
District 14,5.08,4.49,1.23,4.76
TOTAL,4.16,4.07,1.05,4.11
