CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,0.00,1.82,1.73,0.00,0.61,0.67,0.00,1.30,0.58,0.00,0.35,0.62,0.00,0.74,0.83,2.78,5.56,5.98,0.00,1.32,1.11,4.00
Congressional District 2,0.00,0.79,0.71,0.00,0.37,0.50,0.00,0.90,1.02,0.00,0.11,0.19,0.00,0.67,0.51,0.00,2.64,2.69,0.00,1.38,1.13,1.83
Congressional District 3,3.85,3.90,4.41,0.00,2.51,3.07,0.00,1.89,8.33,0.00,1.80,1.64,0.00,2.27,1.46,3.51,12.24,13.68,0.00,1.13,1.14,9.30
Congressional District 4,0.00,2.86,2.00,0.00,2.21,1.66,0.00,0.40,1.54,0.00,1.02,0.99,0.00,0.76,0.81,0.00,5.09,4.55,0.00,7.58,5.56,5.53
Congressional District 5,2.70,3.49,2.27,0.00,2.10,2.08,0.00,0.65,2.31,0.00,1.12,1.19,0.00,1.05,0.80,5.00,3.32,3.64,4.13,7.47,5.02,4.89
Congressional District 6,1.46,1.03,0.92,0.00,1.61,2.26,0.00,1.56,1.79,4.76,1.24,1.37,0.00,0.84,1.07,0.59,5.97,6.75,0.00,2.22,1.83,4.74
Congressional District 7,0.18,0.39,0.38,0.00,0.08,0.09,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.06,0.09,0.41,0.87,0.92,0.00,0.00,0.01,0.54
Congressional District 8,0.00,0.55,0.38,0.00,0.57,0.49,0.00,0.71,4.04,0.00,0.30,0.21,0.00,0.21,0.20,1.28,2.08,2.35,0.00,1.40,1.13,1.81
Congressional District 9,2.83,2.17,2.19,0.00,1.76,2.52,0.00,4.44,4.80,0.00,0.39,0.34,0.00,0.86,0.88,0.77,6.66,7.28,0.00,0.38,0.34,6.01
Congressional District 10,0.66,0.76,0.58,0.00,0.55,0.85,0.00,3.10,0.00,0.00,0.10,0.21,0.00,0.48,0.19,1.36,2.13,2.39,0.00,0.24,0.23,1.61
Congressional District 11,2.13,1.42,1.41,0.00,1.66,2.71,0.00,2.25,2.54,0.00,0.71,1.15,0.00,1.60,1.80,1.55,5.95,6.92,0.00,0.88,0.92,4.85
Congressional District 12,0.69,1.10,1.38,0.00,0.53,0.87,0.00,0.00,2.40,0.00,0.58,0.84,0.00,1.44,0.85,1.10,4.30,4.85,0.00,0.24,0.27,2.80
Congressional District 13,1.18,2.60,1.82,0.00,1.63,1.90,0.00,2.04,0.81,0.00,0.71,0.72,8.33,0.88,0.96,0.00,4.79,5.50,1.38,4.57,3.35,4.04
Congressional District 14,0.00,1.85,1.94,0.00,1.01,2.00,0.00,2.02,0.00,0.00,0.53,0.31,0.00,1.37,2.01,2.22,5.33,6.03,0.00,0.67,0.68,4.76
TOTAL,1.08,1.88,1.63,0.00,1.31,1.59,0.00,1.35,1.85,0.45,0.62,0.68,0.56,0.76,0.73,1.45,5.08,5.62,0.75,3.38,2.52,4.11
