COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
CLINCH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COBB,2.380,1.950,2.190,0.00,2.610,4.710,0.00,1.980,2.640,3.120,1.380,1.900,0.00,2.190,2.600,1.570,11.77,13.84,0.00,0.820,0.970,8.170
COFFEE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COLQUITT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COLUMBIA,0.00,2.230,3.000,0.00,1.640,1.600,0.00,2.000,7.690,0.00,1.190,2.600,0.00,2.210,1.420,2.780,8.110,10.16,0.00,0.580,0.840,6.850
COOK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COWETA,3.570,4.980,4.660,0.00,3.590,2.580,0.00,0.00,0.00,0.00,1.680,1.250,0.00,3.450,1.320,6.980,11.24,12.85,0.00,0.290,0.640,9.240
CRAWFORD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRISP,0.00,5.450,8.700,0.00,6.670,8.330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.560,6.450,0.00,24.15,25.03,0.00,1.640,1.310,14.18
DADE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DAWSON,14.29,11.29,10.25,0.00,31.82,21.21,0.00,0.00,0.00,0.00,12.99,7.460,0.00,5.130,14.29,0.00,24.19,23.89,0.00,8.330,0.00,22.99
DECATUR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DEKALB,0.00,1.960,1.400,0.00,2.280,1.900,0.00,0.440,1.120,0.00,1.340,1.170,0.00,0.890,1.140,0.00,5.200,4.830,0.00,6.940,4.720,5.070
