CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,162.0,17518.0,17465.0,3.0,2465.0,1779.0,2.0,154.0,171.0,7.0,4538.0,3546.0,6.0,2152.0,1691.0,72.0,145592.0,124915.0,41.0,72133.0,51028.0,445440.0
Congressional District 2,64.0,7422.0,7698.0,1.0,1605.0,1197.0,0.0,111.0,98.0,7.0,2656.0,2160.0,1.0,1482.0,1184.0,22.0,95360.0,82743.0,44.0,124336.0,85983.0,414174.0
Congressional District 3,104.0,18753.0,18431.0,16.0,2269.0,1887.0,0.0,106.0,84.0,9.0,4010.0,3292.0,6.0,2292.0,1781.0,114.0,167899.0,147544.0,44.0,59348.0,42739.0,470728.0
Congressional District 4,150.0,20345.0,19755.0,9.0,4519.0,3254.0,0.0,249.0,195.0,13.0,5177.0,3931.0,6.0,4752.0,4560.0,31.0,70711.0,60615.0,82.0,160643.0,115524.0,474521.0
Congressional District 5,259.0,31575.0,32165.0,6.0,4146.0,3459.0,0.0,155.0,130.0,10.0,4188.0,3877.0,21.0,4277.0,4007.0,80.0,76604.0,75982.0,121.0,160719.0,122097.0,523878.0
Congressional District 6,205.0,27703.0,26817.0,17.0,5046.0,4336.0,0.0,192.0,168.0,21.0,7364.0,5904.0,31.0,10934.0,10247.0,170.0,172102.0,155878.0,21.0,34952.0,25498.0,487606.0
Congressional District 7,556.0,27635.0,26795.0,39.0,5333.0,4389.0,3.0,318.0,289.0,68.0,13732.0,11127.0,68.0,14028.0,13933.0,241.0,126501.0,113971.0,165.0,49820.0,35515.0,444526.0
Congressional District 8,90.0,8849.0,9370.0,5.0,1590.0,1225.0,0.0,141.0,99.0,4.0,3047.0,2434.0,1.0,1937.0,1534.0,78.0,142399.0,124174.0,33.0,69790.0,48410.0,415210.0
Congressional District 9,106.0,14354.0,15041.0,2.0,1078.0,1033.0,0.0,135.0,125.0,20.0,5399.0,5248.0,3.0,1511.0,1256.0,130.0,188642.0,167902.0,9.0,14192.0,10498.0,426684.0
Congressional District 10,152.0,18656.0,18950.0,4.0,1995.0,1762.0,0.0,129.0,107.0,19.0,3926.0,3256.0,6.0,2504.0,2114.0,147.0,158913.0,142759.0,56.0,59695.0,42645.0,457795.0
Congressional District 11,188.0,19588.0,20047.0,24.0,3614.0,2882.0,0.0,222.0,197.0,20.0,7943.0,6508.0,7.0,3994.0,3393.0,129.0,181369.0,162916.0,68.0,44314.0,31249.0,488672.0
Congressional District 12,144.0,15081.0,14974.0,4.0,2082.0,1492.0,0.0,143.0,125.0,5.0,3248.0,2629.0,10.0,2222.0,1757.0,91.0,130066.0,113699.0,87.0,81066.0,57080.0,426005.0
Congressional District 13,170.0,21394.0,19418.0,9.0,4246.0,3001.0,1.0,147.0,123.0,10.0,6654.0,5247.0,12.0,3186.0,2704.0,53.0,72457.0,62736.0,145.0,156270.0,109593.0,467576.0
Congressional District 14,51.0,15617.0,15985.0,1.0,1192.0,1052.0,0.0,99.0,88.0,7.0,5626.0,5429.0,1.0,1093.0,895.0,90.0,170240.0,147826.0,13.0,18423.0,13322.0,397050.0
TOTAL,2401.0,264490.0,262911.0,140.0,41180.0,32748.0,6.0,2301.0,1999.0,220.0,77508.0,64588.0,179.0,56364.0,51056.0,1448.0,1898855.0,1683660.0,929.0,1105701.0,791181.0,6339865.0
