ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,31.81,34.39,0.00,33.13
2016 Primary,11.90,10.83,0.00,11.36
2016 Primary Runoff,3.79,4.51,0.00,4.16
2016 General,58.54,60.97,0.00,59.78
2018 Primary,16.89,19.03,0.00,17.97
2018 Primary Runoff,13.36,13.92,0.00,13.64
2018 General,55.80,59.97,0.00,57.92
