ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,31.28,37.49,0.00,34.77
2016 Primary,17.62,21.32,0.00,19.70
2016 Primary Runoff,8.91,10.59,0.00,9.85
2016 General,62.42,71.25,0.00,67.41
2018 Primary,22.92,27.29,0.00,25.36
2018 Primary Runoff,6.72,9.27,0.00,8.15
2018 General,60.55,69.28,0.00,65.42
