ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,47.88,51.47,100.0,49.87
2016 Primary,21.25,19.87,0.00,20.49
2016 Primary Runoff,3.98,4.81,0.00,4.44
2016 General,74.44,75.86,100.0,75.24
2018 Primary,29.23,32.35,0.00,30.95
2018 Primary Runoff,9.77,10.51,0.00,10.18
2018 General,70.28,72.34,100.0,71.44
