ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,10.10,20.73,19.64,20.00,13.85,36.13,15.22,24.05
2016 Primary,5.77,5.51,1.70,0.00,4.35,11.98,2.94,6.96
2016 Primary Runoff,0.00,1.56,0.00,0.00,0.00,0.83,0.59,0.77
2016 General,59.48,45.77,57.48,16.67,52.70,58.82,39.34,52.76
2018 Primary,5.11,11.32,7.63,0.00,10.53,20.41,4.58,11.85
2018 Primary Runoff,3.28,6.34,3.59,0.00,6.49,17.05,2.22,8.33
2018 General,49.23,44.44,49.73,25.00,56.18,58.33,33.98,49.43
