ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential_Primary,-0000,-0000,-0000,-0000,-0000,-0000,-0000,-0000
2016 Primary,0.00,9.16,3.45,0.00,4.65,4.05,5.47,8.62
2016 Primary Runoff,8.33,2.59,0.00,0.00,0.00,1.35,2.26,2.50
2016 General,47.06,51.19,36.36,33.33,43.08,40.91,38.72,49.73
2018 Primary,0.00,10.26,0.00,0.00,5.26,6.74,6.02,9.54
2018 Primary Runoff,0.00,2.65,0.00,0.00,0.00,1.12,1.89,2.46
2018 General,23.08,46.85,23.81,20.00,39.00,36.46,30.79,44.60
