ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,26.71,34.23,100.0,30.74
2016 Primary,7.75,12.77,0.00,10.41
2016 Primary Runoff,1.82,3.89,0.00,2.92
2016 General,52.84,65.74,33.33,59.53
2018 Primary,15.68,21.82,0.00,18.84
2018 Primary Runoff,2.86,5.08,0.00,4.01
2018 General,53.09,64.24,0.00,58.77
