ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,22.17,32.36,0.00,28.14
2016 Primary,9.98,17.51,0.00,14.38
2016 Primary Runoff,3.21,6.37,0.00,5.06
2016 General,48.39,62.91,0.00,56.74
2018 Primary,12.84,21.91,0.00,18.07
2018 Primary Runoff,3.90,6.36,0.00,5.31
2018 General,44.69,59.27,0.00,53.03
