ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,10.09,18.37,30.23,16.67,12.82,44.54,21.82,31.75
2016 Primary,1.67,6.55,2.22,0.00,2.27,15.99,6.22,10.87
2016 Primary Runoff,1.67,2.19,2.22,0.00,0.00,12.13,4.48,7.37
2016 General,45.71,45.85,61.22,54.55,45.28,67.26,46.53,57.09
2018 Primary,5.15,13.83,18.28,9.09,7.79,24.93,13.99,19.37
2018 Primary Runoff,3.17,3.45,3.03,9.09,1.32,10.34,2.40,7.05
2018 General,36.76,49.17,61.40,33.33,50.51,65.43,43.93,57.11
