AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.37,0.00,4.44,3.12,1.16,2.07
25-29,0.00,0.13,0.00,0.00,2.27,2.05,0.35,1.37
30-34,0.00,1.04,0.00,0.00,0.00,3.06,1.32,2.40
35-39,0.00,0.30,0.88,0.00,0.00,3.84,1.77,2.98
40-44,2.50,1.03,1.49,0.00,0.00,6.20,1.42,4.90
45-49,3.12,1.30,1.41,0.00,0.00,8.37,1.07,6.69
50-54,0.00,1.85,2.44,0.00,0.00,11.07,1.97,9.02
55-59,0.00,1.91,0.00,0.00,0.00,14.40,6.69,11.96
60-64,0.00,3.93,0.00,0.00,11.11,19.98,6.22,17.04
65-OVER,7.41,8.04,5.06,40.00,9.09,27.50,9.44,24.72
TOTAL,1.45,2.49,0.91,5.00,2.30,13.77,2.43,10.84
