PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
STATENVILLE,14.52,12.32,0.00,13.35
88888,0.00,7.69,0.00,3.23
99999,0.00,0.00,0.00,0.00
TOTAL,14.22,12.23,0.00,13.17
