PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CEN,50.00,3.300,40.00,0.00,0.00,21.64,1.490,19.70
COO,100.0,12.50,0.00,100.0,25.00,13.16,0.00,12.70
ENO,0.00,9.300,0.00,0.00,0.00,14.48,6.730,13.21
EPH,0.00,0.00,0.00,50.00,0.00,18.99,4.920,17.66
FRA,0.00,4.950,0.00,20.00,0.00,16.97,5.100,13.73
SOU,0.00,0.950,0.00,0.00,0.00,16.59,5.560,13.13
TOTAL,8.700,4.480,5.710,25.00,4.550,17.75,4.460,15.53
