AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.0,0.0,0.0,0.0,0.0,5.86,2.04,3.51
25-29,0.0,0.0,0.0,0.0,0.0,5.16,1.82,3.32
30-34,0.0,0.51,0.0,0.0,0.0,8.02,2.0,5.6
35-39,0.0,0.0,0.0,0.0,0.0,12.16,3.7,8.64
40-44,0.0,1.09,0.0,0.0,0.0,14.1,3.33,10.34
45-49,0.0,1.95,0.0,0.0,0.0,17.85,0.0,13.01
50-54,25.0,2.65,0.0,0.0,0.0,22.97,4.35,16.89
55-59,0.0,2.33,0.0,0.0,0.0,24.5,7.41,17.86
60-64,0.0,3.21,0.0,0.0,0.0,30.97,13.79,22.64
65-OVER,11.11,4.29,0.0,0.0,0.0,34.04,6.52,27.57
TOTAL,6.67,1.94,0.0,0.0,0.0,21.54,3.89,15.7
