AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.67,0.00,0.00,0.00,6.41,0.00,3.42
25-29,0.00,2.60,0.00,0.00,0.00,5.17,0.00,3.38
30-34,0.00,3.20,0.00,0.00,0.00,9.09,13.04,6.99
35-39,0.00,2.52,50.00,0.00,0.00,14.72,3.70,9.24
40-44,0.00,0.77,0.00,0.00,0.00,10.00,0.00,6.12
45-49,0.00,4.14,0.00,0.00,0.00,10.89,0.00,7.91
50-54,0.00,6.29,0.00,0.00,0.00,14.56,0.00,11.16
55-59,0.00,3.52,50.00,0.00,0.00,18.53,4.76,12.18
60-64,0.00,10.23,0.00,0.00,0.00,28.52,20.00,20.84
65-OVER,33.33,12.10,0.00,0.00,0.00,33.38,11.76,25.77
TOTAL,8.33,5.84,8.00,0.00,0.00,19.22,3.96,13.39
