PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
SYLVANIA,12.04,11.23,0.00,11.58
HUNTERS,11.22,8.12,0.00,9.53
NEWINGTON,9.00,9.74,0.00,9.38
JENK HILL FIRE STA,9.82,9.59,0.00,9.70
ROCKY FORD,15.72,15.48,0.00,15.59
BAY BRANCH,13.55,10.48,0.00,11.94
HILTONIA,10.43,8.16,0.00,9.17
SCREVEN REC. DEPT.,7.91,8.67,0.00,8.31
GREENHILL CHURCH,11.89,10.17,0.00,10.97
SR CITIZENS CENTER,8.53,6.80,0.00,7.52
JACKSON FIRE STATION,15.96,14.36,0.00,15.16
FOY'S STORE,5.98,10.08,0.00,8.13
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,10.97,9.86,0.00,10.37
