PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
BLUE CREEK,0.00,10.00,12.50,0.00,20.00,21.10,12.82,20.46
BLUE RIDGE,0.00,66.67,10.00,0.00,25.00,25.28,13.24,24.20
HELEN,0.00,0.00,0.00,0.00,0.00,23.44,6.25,21.58
MOSSY CREEK,28.57,10.53,5.00,0.00,0.00,24.95,8.08,23.41
MT YONAH,0.00,9.09,4.65,0.00,9.09,22.96,6.69,20.97
NACOOCHEE,0.00,11.11,0.00,0.00,0.00,26.86,6.45,25.39
ROBERTSTOWN,0.00,0.00,0.00,0.00,0.00,26.16,14.29,25.08
SHOAL CREEK,33.33,0.00,3.70,20.00,25.00,20.37,4.64,18.66
TESNATEE,33.33,0.00,0.00,0.00,0.00,27.22,8.47,25.71
TOWN CREEK,20.00,0.00,0.00,100.0,0.00,19.79,2.59,18.27
WHITE CREEK,0.00,9.09,0.00,0.00,0.00,22.53,10.00,21.51
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,8.33,9.09,4.90,10.00,9.62,23.15,7.54,21.66
