AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,3.250,4.350,0.00,0.00,5.720,2.780,4.800
25-29,0.00,0.810,0.00,0.00,0.00,4.920,4.550,3.870
30-34,0.00,5.080,7.690,0.00,0.00,6.870,0.00,5.830
35-39,0.00,4.950,8.330,0.00,0.00,10.94,0.00,8.370
40-44,50.00,4.550,0.00,0.00,0.00,13.64,10.81,11.61
45-49,0.00,6.590,0.00,0.00,0.00,13.62,11.76,11.79
50-54,0.00,6.540,16.67,0.00,0.00,17.68,6.900,14.32
55-59,0.00,14.00,0.00,0.00,0.00,15.43,6.060,14.19
60-64,0.00,13.40,0.00,0.00,0.00,24.35,15.79,20.92
65-OVER,0.00,11.06,0.00,0.00,16.67,30.49,33.33,26.12
TOTAL,6.060,7.180,4.490,0.00,2.780,15.83,8.310,13.11
