AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.00,0.00,0.00,5.350,1.960,3.260
25-29,0.00,0.00,0.00,0.00,0.00,5.910,0.00,3.350
30-34,0.00,0.810,0.00,0.00,0.00,7.200,4.760,4.990
35-39,0.00,2.130,0.00,0.00,0.00,8.370,0.00,5.670
40-44,0.00,0.00,0.00,0.00,0.00,9.880,0.00,6.920
45-49,0.00,4.590,0.00,0.00,0.00,12.26,0.00,9.730
50-54,0.00,2.290,0.00,0.00,0.00,16.87,7.690,12.45
55-59,0.00,6.750,40.00,0.00,0.00,23.78,16.67,18.42
60-64,0.00,7.640,0.00,0.00,0.00,24.71,7.690,18.86
65-OVER,33.33,7.310,0.00,0.00,0.00,28.89,10.34,23.48
TOTAL,3.850,3.860,4.760,0.00,0.00,18.27,4.480,13.51
