PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
ELLIJAY SOUTH,15.86,14.90,0.00,15.36
CARTECAY,23.59,19.09,0.00,21.27
TAILS CREEK,13.02,10.97,0.00,11.96
TOWN CREEK,16.07,12.91,0.00,14.39
LEACHES,15.85,14.50,0.00,15.14
CHERRY LOG,18.31,15.50,0.00,16.94
BOARDTOWN,23.10,19.09,25.00,21.06
MOUNTAINTOWN,21.46,15.93,0.00,18.61
EAST ELLIJAY,17.71,14.18,0.00,15.80
ELLIJAY NORTH,16.43,13.45,0.00,14.81
YUKON,18.10,16.51,0.00,17.30
BIG CREEK,21.41,20.16,0.00,20.75
ELLIJAY NORTHEAST,19.74,17.19,0.00,18.39
99999,0.00,0.00,0.00,0.00
TOTAL,18.12,15.52,5.56,16.77
