AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.760,0.00,0.00,0.00,4.290,0.00,2.550
25-29,0.00,0.00,20.00,0.00,0.00,3.310,5.260,2.430
30-34,0.00,2.970,0.00,0.00,0.00,6.630,0.00,5.210
35-39,0.00,3.960,0.00,0.00,0.00,10.25,8.330,8.310
40-44,0.00,2.780,0.00,0.00,0.00,8.950,0.00,6.350
45-49,0.00,3.920,0.00,0.00,0.00,12.34,0.00,9.430
50-54,0.00,4.920,0.00,0.00,0.00,15.49,33.33,12.08
55-59,0.00,4.240,0.00,0.00,0.00,19.49,12.50,14.17
60-64,0.00,4.720,0.00,0.00,0.00,20.56,11.11,15.57
65-OVER,0.00,12.83,0.00,0.00,0.00,24.25,15.38,21.12
TOTAL,0.00,5.100,5.560,0.00,0.00,15.16,5.440,11.63
