PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
GRAY,9.09,4.91,0.00,0.00,0.00,18.84,0.00,15.89
HAWKINS,16.67,7.44,7.69,50.00,0.00,19.02,1.69,11.90
ETHRIDGE,7.69,9.49,0.00,0.00,0.00,21.93,0.00,17.66
CLINTON,0.00,7.49,10.00,0.00,0.00,19.32,1.54,16.64
ROBERTS,0.00,9.02,0.00,0.00,0.00,15.77,0.88,13.28
DAVIDSON,14.29,18.69,0.00,0.00,33.33,20.14,6.82,19.51
POPE,0.00,8.37,0.00,0.00,0.00,20.75,5.13,16.67
BARRON,0.00,5.54,25.00,0.00,0.00,25.81,6.45,20.07
SANDERS,0.00,20.69,0.00,0.00,0.00,26.62,0.00,24.48
FINNEY,0.00,7.77,3.45,0.00,0.00,21.35,2.94,18.53
TOTAL,5.63,7.96,4.08,5.26,1.92,19.98,2.19,16.20
