AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.0,0.0,0.0,0.0,0.0,7.58,0.0,5.28
25-29,0.0,0.0,0.0,0.0,0.0,4.86,0.0,3.59
30-34,0.0,0.0,0.0,0.0,0.0,6.16,0.0,4.37
35-39,0.0,0.0,0.0,0.0,0.0,6.25,0.0,5.12
40-44,0.0,2.44,0.0,0.0,0.0,9.18,0.0,7.63
45-49,0.0,5.26,0.0,0.0,0.0,14.98,0.0,13.04
50-54,0.0,9.76,0.0,0.0,0.0,16.59,0.0,15.06
55-59,0.0,9.09,0.0,0.0,0.0,21.95,0.0,18.39
60-64,0.0,4.65,0.0,0.0,0.0,23.81,0.0,18.29
65-OVER,0.0,10.14,0.0,0.0,0.0,31.64,0.0,25.95
TOTAL,0.0,5.35,0.0,0.0,0.0,16.43,0.0,13.51
