AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.00,0.00,0.00,7.250,4.920,2.560
25-29,0.00,0.00,0.00,0.00,0.00,6.170,0.00,1.670
30-34,0.00,0.00,0.00,0.00,0.00,3.920,0.00,0.870
35-39,0.00,0.00,100.0,0.00,0.00,16.39,16.67,5.220
40-44,0.00,1.330,0.00,0.00,0.00,13.10,0.00,5.260
45-49,0.00,0.00,0.00,0.00,0.00,25.23,11.11,10.90
50-54,0.00,1.660,100.0,0.00,0.00,24.78,0.00,10.49
55-59,0.00,3.140,0.00,0.00,0.00,22.66,0.00,10.36
60-64,0.00,2.140,0.00,0.00,100.0,30.95,0.00,15.16
65-OVER,0.00,8.140,0.00,0.00,0.00,33.40,13.33,21.63
TOTAL,0.00,2.540,22.22,0.00,5.880,24.73,3.980,11.23
