AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.00,0.00,0.00,2.12,0.28,1.33
25-29,0.00,0.30,0.00,0.00,0.00,2.04,0.00,1.49
30-34,0.00,0.89,0.00,0.00,0.00,3.23,3.36,2.68
35-39,0.00,1.81,0.00,0.00,0.00,4.48,2.70,3.64
40-44,0.00,2.14,3.23,0.00,0.00,6.21,5.56,5.20
45-49,0.00,2.44,9.52,0.00,0.00,7.80,2.61,6.29
50-54,0.00,2.75,0.00,0.00,9.09,11.02,3.28,8.82
55-59,5.56,4.56,0.00,0.00,7.69,18.79,3.54,15.46
60-64,0.00,7.41,0.00,0.00,12.50,22.66,12.50,19.53
65-OVER,0.00,11.24,0.00,50.00,42.86,31.77,11.72,27.92
TOTAL,0.39,3.42,1.29,7.69,6.52,13.08,3.59,10.40
