PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
CHAUN,17.68,14.63,0.00,16.06
CLARK,22.92,19.57,0.00,21.28
EDDIN,14.00,12.35,0.00,13.13
EMPIR,21.84,14.07,0.00,18.02
JAYBI,28.12,22.34,0.00,25.26
JONES,17.07,14.69,0.00,15.87
LEE,14.44,9.59,0.00,11.62
MCCRA,28.89,26.53,0.00,27.66
MILAN,23.53,19.89,0.00,21.47
MITCH,27.54,19.25,0.00,23.48
MULLI,17.89,12.96,0.00,15.27
PLAIN,21.08,18.46,0.00,19.80
PONDT,27.99,24.24,0.00,25.91
RAWLI,16.41,12.56,0.00,14.37
VILUL,46.59,31.65,0.00,39.52
YONKE,12.26,7.38,0.00,9.65
TOTAL,18.37,13.48,0.00,15.70
