PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
TARBORO,13.64,10.73,0.00,12.11
WAVERLY,12.05,13.25,0.00,12.67
WOODBINE,13.36,14.12,0.00,13.75
BROWNTOWN,10.58,8.36,0.00,9.47
HARRIETTS BLUFF,9.38,9.11,0.00,9.23
WEST KINGSLAND,8.38,7.68,0.00,8.00
NORTH KINGSLAND,6.64,7.60,0.00,7.17
KINGSLAND,6.17,5.93,0.00,6.04
EAST KINGSLAND,7.19,6.21,0.00,6.65
NORTH ST MARYS,3.88,2.77,0.00,3.25
MARY LEE CLARK,6.16,4.63,0.00,5.31
SOUTH ST MARYS,12.70,11.78,0.00,12.22
MUSH BLUFF,9.78,6.80,0.00,8.14
WEST SAINT MARYS,14.33,11.41,0.00,12.80
99999,0.00,0.00,0.00,0.00
TOTAL,9.04,7.85,0.00,8.39
