AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.0,0.73,0.0,0.0,0.0,7.38,1.56,3.2
25-29,0.0,0.82,0.0,0.0,0.0,4.56,1.32,2.15
30-34,0.0,0.82,0.0,0.0,0.0,6.67,2.5,3.17
35-39,0.0,2.24,0.0,0.0,0.0,7.22,7.69,4.45
40-44,0.0,2.8,0.0,0.0,0.0,9.74,3.45,5.91
45-49,0.0,3.39,0.0,0.0,0.0,14.13,12.5,8.92
50-54,0.0,5.13,0.0,0.0,0.0,18.74,12.9,11.49
55-59,0.0,7.03,0.0,0.0,0.0,17.5,0.0,11.42
60-64,0.0,9.09,0.0,0.0,0.0,20.18,0.0,14.22
65-OVER,0.0,12.46,33.33,0.0,33.33,23.6,1.59,18.65
TOTAL,0.0,5.5,2.7,0.0,3.03,16.12,3.27,10.3
