AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,2.170,1.310,3.380,9.090,2.200,3.730,1.630,2.570
25-29,0.00,0.780,0.790,0.00,1.420,2.450,0.980,1.620
30-34,0.960,1.310,1.310,0.00,4.310,3.230,0.630,2.300
35-39,2.000,2.460,3.480,0.00,3.120,4.610,0.860,3.500
40-44,1.370,5.040,2.040,0.00,2.700,7.060,2.080,5.740
45-49,3.120,4.880,5.140,12.50,1.430,9.230,3.750,7.240
50-54,5.680,7.110,6.000,0.00,7.690,13.54,4.330,10.61
55-59,4.070,9.710,7.360,12.50,11.54,18.45,5.460,14.83
60-64,9.220,13.53,11.11,0.00,7.940,22.65,8.610,18.94
65-OVER,7.020,15.82,6.930,33.33,6.250,30.59,11.00,26.21
TOTAL,3.630,6.030,4.150,7.480,4.280,14.54,3.240,10.65
