PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
CHALYBEATE,20.92,15.84,0.00,18.18
GILL I,16.61,12.44,0.00,14.17
GILL II,6.63,7.83,0.00,7.34
7TH-ODESSADALE,14.29,17.69,0.00,16.07
8TH-GREENVILLE,11.36,9.24,100.0,10.21
LONE OAK,10.77,9.68,0.00,10.20
LUTHERSVILLE,10.93,10.20,0.00,10.55
UPPER 9TH -ALVATON,14.46,11.77,0.00,13.10
MIDDLE 9TH-GAY,15.14,14.14,0.00,14.63
LOWER 9TH-WOODBURY,13.57,11.96,0.00,12.66
2ND-WARM SPRINGS,15.06,12.09,0.00,13.45
THIRD-DURAND,14.81,10.82,0.00,12.57
RALEIGH,18.10,13.36,0.00,15.60
COVE,27.45,26.73,0.00,27.09
TOTAL,13.37,11.32,16.67,12.26
