AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,2.72,0.00,0.00,0.00,10.43,1.52,6.79
25-29,0.00,0.74,0.00,0.00,0.00,6.78,3.33,4.72
30-34,0.00,1.67,0.00,0.00,0.00,7.00,0.00,4.71
35-39,0.00,3.39,50.00,0.00,0.00,7.77,4.55,6.20
40-44,0.00,3.88,0.00,0.00,0.00,11.45,0.00,8.65
45-49,0.00,7.50,0.00,0.00,0.00,16.86,2.38,12.74
50-54,0.00,5.56,0.00,0.00,0.00,24.13,10.34,17.24
55-59,0.00,9.20,0.00,0.00,0.00,23.66,8.57,18.65
60-64,0.00,11.90,0.00,0.00,0.00,33.51,9.09,25.52
65-OVER,16.67,16.30,0.00,0.00,0.00,35.39,16.18,30.25
TOTAL,5.56,8.01,7.14,0.00,0.00,22.94,6.25,17.60
