PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
COLWELL,26.97,24.45,0.00,25.66
FAIRPLAY,16.57,14.70,0.00,15.61
FLINTHILL,21.57,18.23,0.00,19.72
HEMPTOWN,20.25,17.59,0.00,18.86
HOTHOUSE,19.29,18.83,0.00,19.05
MINERAL BLUFF,21.31,18.39,0.00,19.79
MOBILE,25.33,20.11,0.00,22.51
MORGANTON,20.98,20.81,0.00,20.89
NOONTOOTLA,24.62,24.27,0.00,24.45
SKENIAH,30.77,26.87,0.00,28.97
SUGAR CREEK,20.26,15.78,0.00,17.87
TOCCOA,17.85,14.49,0.00,16.03
TOTAL,20.96,18.11,0.00,19.45
