AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.00,0.00,9.09,4.48,1.45,3.61
25-29,0.00,0.00,0.00,0.00,0.00,4.90,0.00,3.85
30-34,0.00,1.10,0.00,0.00,0.00,6.97,5.88,6.12
35-39,0.00,2.56,20.00,0.00,0.00,9.28,0.00,8.13
40-44,0.00,1.22,14.29,0.00,0.00,13.29,5.26,11.61
45-49,0.00,6.74,14.29,0.00,50.00,12.59,4.65,11.76
50-54,0.00,2.13,0.00,0.00,0.00,14.74,10.00,12.99
55-59,0.00,2.78,0.00,0.00,14.29,18.95,9.52,16.57
60-64,0.00,4.35,20.00,0.00,0.00,24.50,4.35,21.73
65-OVER,0.00,10.66,0.00,0.00,0.00,30.78,8.33,28.46
TOTAL,0.00,3.80,4.76,0.00,6.67,16.89,4.40,14.78
