AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.430,0.290,5.560,0.370,3.450,1.210,1.390
25-29,0.00,0.400,0.780,0.00,0.660,2.800,0.380,1.210
30-34,2.270,0.640,1.140,11.11,0.930,3.050,1.130,1.570
35-39,1.430,1.220,1.320,0.00,0.00,4.850,1.530,2.440
40-44,0.00,1.940,0.00,33.33,3.050,7.070,2.340,3.580
45-49,1.270,2.470,0.420,0.00,1.960,10.03,3.820,5.240
50-54,5.170,2.670,1.900,0.00,4.900,14.37,3.640,7.670
55-59,1.390,3.740,1.250,0.00,6.900,18.50,4.730,10.90
60-64,1.490,4.190,8.470,16.67,7.410,22.82,5.860,14.71
65-OVER,5.980,5.550,2.080,0.00,11.11,31.81,8.790,23.23
TOTAL,1.860,2.120,1.180,4.630,3.030,15.98,3.050,8.010
