PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
ADAIRSVILLE,10.94,8.36,0.00,9.57
ALLATOONA,10.57,8.48,0.00,9.52
CARTERSVILLE EAST,11.22,9.17,12.50,10.10
CARTERSVILLE WEST,15.58,12.13,11.11,13.70
CASSVILLE,11.80,10.00,0.00,10.86
CENTER,16.48,13.61,0.00,14.97
EMERSON,16.05,15.13,0.00,15.58
EUHARLEE,11.73,8.49,33.33,10.08
FOLSOM,19.29,14.61,0.00,16.90
KINGSTON,15.25,12.93,0.00,14.06
MISSION ROAD,14.41,12.38,0.00,13.35
PINE LOG,17.83,14.45,100.0,16.14
TAYLORSVILLE,16.72,14.60,0.00,15.60
WHITE,15.80,13.71,0.00,14.77
ZENA DRIVE,7.99,6.62,0.00,7.23
WOODLAND,11.98,10.70,0.00,11.29
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,13.04,10.64,6.56,11.78
