PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
KE,0.0,4.78,3.57,50.0,4.88,8.42,0.95,5.02
KG,7.25,15.45,11.63,0.0,20.0,23.11,9.25,20.82
LA,8.45,8.98,7.55,0.0,2.33,28.46,7.76,23.62
LB,2.56,6.43,2.5,0.0,4.17,11.2,3.24,9.34
LC,2.78,2.15,0.0,0.0,0.0,7.99,2.13,5.27
LD,0.0,4.04,0.0,0.0,0.0,12.9,0.0,4.07
LE,1.23,5.16,4.0,0.0,1.96,6.64,4.12,5.99
LH,0.0,4.16,3.03,0.0,1.52,9.43,1.74,3.95
LV,5.13,30.84,10.42,0.0,16.0,26.41,11.58,23.63
MA,0.0,6.69,1.59,0.0,1.79,11.33,4.74,6.54
MB,0.0,5.01,0.0,0.0,0.0,3.42,2.79,4.01
MC,0.0,3.09,0.0,0.0,6.52,0.0,2.88,3.04
MD,0.0,4.72,5.0,0.0,0.0,5.0,2.94,4.5
ME,3.17,3.45,3.03,9.09,1.32,10.34,2.4,7.05
MF,0.0,8.72,0.0,0.0,0.0,8.82,4.05,8.2
MG,2.9,8.51,7.41,0.0,2.27,12.26,5.95,10.9
MH,7.75,18.48,10.0,50.0,17.78,28.73,10.71,25.27
MI,0.0,2.65,0.0,0.0,0.0,1.12,1.89,2.46
MJ,0.83,1.7,1.38,0.0,1.72,4.76,1.92,2.51
MK,0.0,3.53,5.62,0.0,6.38,13.81,4.91,8.07
ML,0.0,4.45,3.23,0.0,2.17,4.72,1.47,4.18
MN,6.02,2.76,0.0,0.0,0.0,10.1,0.98,3.06
MO,0.0,3.12,1.92,25.0,0.0,8.24,2.18,3.89
MP,10.0,4.6,0.0,0.0,6.9,6.79,2.7,4.98
MQ,5.83,16.49,8.57,0.0,0.0,24.04,11.06,21.39
MR,0.0,12.53,0.0,0.0,4.88,20.61,6.88,12.35
MS,4.2,9.09,6.12,33.33,11.11,24.41,10.95,20.86
MT,4.76,4.15,0.0,0.0,1.89,5.32,2.19,4.36
MU,8.89,21.58,10.87,25.0,4.76,21.09,5.91,18.68
MV,0.0,13.35,0.0,0.0,9.09,26.67,5.76,12.98
MW,2.0,8.73,11.36,0.0,0.0,21.78,4.81,12.32
MZ,6.25,2.44,0.0,0.0,0.0,2.63,0.65,2.24
NB,0.0,3.36,3.85,0.0,0.0,6.51,2.27,4.56
NC,2.5,4.44,6.45,0.0,0.0,15.55,1.55,5.68
ND,2.38,6.98,20.83,0.0,5.56,14.73,4.17,12.58
NF,3.23,8.29,1.81,0.0,2.7,19.1,4.93,11.84
OA,5.62,3.98,1.89,0.0,6.12,14.67,1.55,11.53
OB,2.96,5.82,1.85,0.0,4.92,17.06,2.06,6.62
OK,1.75,5.6,0.0,0.0,2.5,7.42,4.27,6.41
OV,0.0,4.51,2.86,0.0,0.0,9.46,2.3,4.32
PA,0.0,3.2,0.0,0.0,0.0,8.86,2.87,3.99
PB,2.17,6.62,1.97,0.0,3.03,13.94,6.34,9.3
PC,0.0,5.38,4.76,0.0,3.85,19.12,3.03,5.55
PE,0.0,12.0,6.67,0.0,20.0,20.37,4.08,17.44
PF,0.75,3.73,1.1,0.0,3.51,13.64,1.95,5.33
PG,7.5,3.49,2.56,0.0,5.88,13.14,5.26,9.43
PH,0.0,8.31,0.0,0.0,13.04,27.12,4.07,8.62
PI,0.0,3.71,0.0,0.0,0.0,10.17,1.55,3.6
