PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
99999,0.00,0.00,0.00,0.00
BA,12.39,11.53,0.00,11.92
BT,16.02,15.00,0.00,15.47
CO,6.560,6.730,0.00,6.660
FI,6.260,6.190,0.00,6.220
FS,8.700,10.12,0.00,9.480
HC,17.09,14.40,0.00,15.63
HI,10.01,8.170,0.00,8.990
LA,10.05,9.430,0.00,9.720
LO,17.08,16.08,0.00,16.54
MA,13.35,12.33,0.00,12.81
MI,6.230,6.460,0.00,6.360
OT,3.600,4.050,0.00,3.860
RO,10.16,9.930,0.00,10.01
SM,11.08,11.79,0.00,11.46
SP,8.840,9.570,0.00,9.230
ST,14.33,13.58,0.00,13.90
TOTAL,10.31,9.740,0.00,9.980
