AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.0,0.73,3.45,0.0,0.0,3.46,1.17,1.79
25-29,0.0,0.52,0.0,0.0,0.0,5.22,1.2,2.43
30-34,0.0,0.43,0.0,0.0,0.0,6.68,1.92,3.18
35-39,0.0,1.31,8.33,0.0,0.0,7.89,1.92,4.48
40-44,0.0,1.61,0.0,0.0,0.0,6.07,2.33,3.76
45-49,0.0,3.89,16.67,0.0,0.0,13.14,5.26,8.54
50-54,16.67,4.36,0.0,0.0,0.0,14.13,3.7,9.37
55-59,100.0,6.05,0.0,0.0,0.0,20.93,5.26,13.78
60-64,0.0,10.02,0.0,0.0,0.0,25.48,3.92,17.46
65-OVER,28.57,13.17,0.0,0.0,0.0,32.02,9.17,24.38
TOTAL,9.09,5.12,2.78,0.0,0.0,18.04,3.35,11.35
