AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,5.56,0.00,0.00,0.00,1.92,1.61,0.86,1.36
25-29,4.55,0.00,0.00,0.00,0.00,1.07,0.68,0.97
30-34,5.00,0.00,0.00,0.00,0.00,1.69,0.32,1.38
35-39,0.00,0.00,2.70,0.00,0.00,2.71,0.66,2.25
40-44,4.55,0.00,2.94,0.00,0.00,3.71,1.01,3.23
45-49,5.00,0.00,0.00,0.00,4.55,5.56,2.20,4.96
50-54,0.00,1.27,0.00,0.00,12.50,7.76,2.58,6.99
55-59,5.88,1.49,0.00,0.00,0.00,8.07,3.42,7.38
60-64,9.09,2.13,10.00,0.00,0.00,11.91,5.42,11.06
65-OVER,0.00,3.08,3.57,50.00,0.00,16.70,7.82,15.62
TOTAL,3.40,0.89,1.20,2.94,1.39,8.01,2.34,6.93
